name,artists,year,danceability,energy,valence,popularity,tempo
Pinky Ring,['UGK'],1996,0.926,0.5670000000000001,0.933,38,93.038
Halfway To Dawn - Unaccompanied Version,['Billy Strayhorn'],1949,0.545,0.123,0.0385,0,79.168
Oughta Be A Law,['Firehouse'],1990,0.5720000000000001,0.838,0.575,30,125.039
Con Que Derecho,['Jeanette'],1981,0.62,0.5589999999999999,0.7490000000000001,34,124.196
All Hell's Breakin' Loose,['KISS'],1983,0.586,0.899,0.703,35,92.953
Gati Wiwaha,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],1921,0.261,0.1639999999999999,0.0494,1,105.664
Hijos de Nadie - Remasterizado,['Ignacio Corsini'],1928,0.586,0.192,0.742,0,120.346
Sorrow - 2015 Remaster,['David Bowie'],1973,0.6609999999999999,0.535,0.687,51,119.545
Gabino - Remasterizado,['Ignacio Corsini'],1927,0.55,0.252,0.882,0,133.128
Samba Em Preludio - Live,"['Vinícius de Moraes', 'Maria Creuza', 'Toquinho']",1970,0.578,0.358,0.415,35,119.197
Twice As Hard,['The Black Crowes'],1990,0.376,0.851,0.487,56,173.119
That's the Way It Is,['Jimmy Giuffre'],1957,0.6809999999999999,0.0323,0.524,9,96.78
Nobody Knows The Trouble,['Dizzy Gillespie'],1951,0.64,0.31,0.5770000000000001,11,123.003
"Biggie/Tupac Live Freestyle (Funkmaster Flex & Big Kap Feat. DJ Mister Cee, Notorious B.I.G & Tupac)","['Funkmaster Flex', 'Big Kap', 'DJ Mister Cee', 'The Notorious B.I.G.', '2Pac']",1999,0.57,0.941,0.8140000000000001,50,188.625
So Nice (Summer Samba),['Marcos Valle'],1968,0.7759999999999999,0.504,0.821,45,122.09
"Mercure, Scene 1: La nuit","['Erik Satie', 'Orchestre Symphonique et Lyrique de Nancy', 'Jerome Kaltenbach']",1999,0.143,0.00194,0.0495,50,139.295
The Flood and the Storm,['Woody Guthrie'],1960,0.6859999999999999,0.0939,0.9,14,133.154
People Need The Lord,['Steve Green'],1984,0.226,0.0563,0.13,41,76.477
"Ha, Ha This A Way",['Lead Belly'],1949,0.6409999999999999,0.273,0.9,0,102.232
Aaya Karo Idhar Bhi Meri Jaan,['Charlie'],1943,0.644,0.0456,0.414,0,87.227
Busco Tu Recuerdo,"['Charlie Figueroa', 'La Sonora Malecon Club']",1965,0.7609999999999999,0.369,0.732,18,116.074
Get Up (Rattle),"['Bingo Players', 'Far East Movement']",2013,0.802,0.981,0.804,51,127.974
"For a Pessimist, I'm Pretty Optimistic",['Paramore'],2007,0.537,0.927,0.379,54,102.445
Tonto corazón,['Los Acosta'],1991,0.595,0.945,0.619,53,103.759
Wide Boy,['Nik Kershaw'],1984,0.797,0.8170000000000001,0.963,39,115.05
"Eh, Eh (Nothing Else I Can Say)",['Lady Gaga'],2008,0.68,0.8759999999999999,0.816,48,187.785
Keep It Real,"['Young Bleed', 'Master P', 'C-Loc']",1998,0.763,0.701,0.591,32,80.035
Ferme Tes Jolis Yeux,['Berthe Sylva'],1932,0.304,0.181,0.42,0,81.101
Darling,['Real Estate'],2017,0.596,0.894,0.5720000000000001,60,132.994
Gonna Be A Lovely Day,"['Kirk Franklin', 'The Family']",1998,0.768,0.574,0.594,44,97.004
Lemonade,['Gucci Mane'],2009,0.741,0.6579999999999999,0.746,61,142.057
Nave Sin Rumbo,"['Sylvia Rexach', 'Tuti Umpierre']",1958,0.623,0.0846,0.343,6,83.467
Joy To The World,['Three Dog Night'],1982,0.588,0.6970000000000001,0.97,26,129.17
Rain On The Roof - 2003 Remaster,"[""The Lovin' Spoonful""]",1966,0.604,0.329,0.659,30,112.455
Captain Hook's Waltz,['Cyril Ritchard'],1954,0.659,0.2,0.527,2,73.969
Thembi,['Pharoah Sanders'],1971,0.316,0.458,0.831,35,166.847
Varuna Varuna,['S. Varalakshmi'],1948,0.32,0.521,0.47,0,179.867
"Ballade No. 1 in G Minor, Op. 23","['Frédéric Chopin', 'Arthur Rubinstein']",1946,0.259,0.1669999999999999,0.0763,9,63.375
fantasy,"['n/a', 'Nitsch, Johannes', 'In Motion']",1935,0.338,0.465,0.502,0,92.036
Loco,['Andrés Calamaro'],1997,0.647,0.853,0.7809999999999999,59,108.698
Rubia,['Armik'],1996,0.627,0.878,0.969,41,112.957
Bel Air,['CAN'],1973,0.277,0.615,0.0354,26,106.073
Retintin - Instrumental (Remasterizado),['Francisco Canaro'],1927,0.8140000000000001,0.313,0.708,0,120.235
Gentle Tuesday,['Primal Scream'],1987,0.426,0.92,0.688,33,127.532
De Profesión...Tu Amante,['Eddie Santiago'],1986,0.711,0.77,0.937,41,96.511
Collaguas (Aymara Dance),['Aymara musicians'],1950,0.574,0.384,0.7290000000000001,0,93.838
The Closer You Get,['Alabama'],2005,0.747,0.46,0.852,40,114.254
Burning Man,"['Dierks Bentley', 'Brothers Osborne']",2018,0.609,0.807,0.4920000000000001,65,119.073
"Hallelujah, I'm a Bum",['Harry McClintock'],1972,0.575,0.0654,0.8079999999999999,22,160.904
Is Duniya Se Hum Nahin Darega,"['Shamshad Begum', 'G. M. Durrani']",1952,0.647,0.444,0.965,0,79.916
Goodbye - Official 1977 Rerecording,['Mary Hopkin'],1968,0.629,0.482,0.575,37,95.265
Burn,['Three Days Grace'],2007,0.401,0.871,0.3720000000000001,45,165.02
What Makes a Man Wander,['Waylon Jennings'],1966,0.644,0.589,0.72,14,125.536
On Green Dolphin Street,['Miles Davis'],1959,0.429,0.304,0.361,47,75.075
Texas (When I Die),['Tanya Tucker'],1978,0.556,0.5720000000000001,0.851,40,78.103
Billy 1,['Bob Dylan'],1973,0.471,0.328,0.537,48,129.978
Look Around,['Stevie Wonder'],1971,0.218,0.206,0.384,22,174.875
Tiny Sparrow,"['Peter, Paul and Mary']",1963,0.334,0.0599,0.118,30,101.194
Bonzo's Montreux - Mix Construction in Progress,['Led Zeppelin'],1982,0.327,0.994,0.215,27,182.655
Shine,['PENTAGON'],2018,0.74,0.804,0.7909999999999999,68,150.013
Now That We're Done,['112'],1996,0.4920000000000001,0.494,0.303,35,124.241
My Own Peculiar Way (with The Anita Kerr Quartet),"['Perry Como', 'Anita Kerr Quartet']",1965,0.513,0.149,0.388,27,83.962
Sigues Con El,"['Dímelo Flow', 'Arcangel', 'Sech']",2019,0.883,0.6679999999999999,0.6759999999999999,82,87.972
Heavy (feat. Kiiara),"['Linkin Park', 'Kiiara']",2017,0.59,0.6709999999999999,0.438,69,149.982
Hello Darlin',['Conway Twitty'],2000,0.289,0.256,0.418,36,83.015
"Dichterliebe, Op. 48: 13. Ich hab' im Traum geweinet","['Robert Schumann', 'Pierre Bernac']",1952,0.36,0.0359,0.0711,0,94.877
"Trio No. 4 in E Major, K. 542: II. Andante grazioso","['Wolfgang Amadeus Mozart', 'Lili Kraus', 'Willy Boskovsky', 'Nikolaus Hubner']",1938,0.36,0.185,0.325,0,101.969
Baby,['Prince'],1978,0.526,0.277,0.327,30,69.671
Me Dejaron en la Via - Remasterizado,"['Francisco Canaro', 'Charlo']",1930,0.763,0.224,0.833,0,115.533
To Marikaki,['Roza Eskenazi'],1950,0.475,0.445,0.7959999999999999,0,80.644
Athair Ar Neamh,['Enya'],1995,0.182,0.0797,0.0822,47,81.583
The Boxer (with The Jessy Dixon Singers & Urubamba) - Live 1973,"['Paul Simon', 'The Jessy Dixon Singers', 'Urubamba']",1974,0.419,0.597,0.303,31,92.841
I Can Talk,"['Irwin Kostal', 'Henry Gibson', 'Agnes Moorehead']",1973,0.616,0.392,0.928,20,134.687
"Verdi : La forza del destino : Act 1 ""M'aiuti, signorina"" [Curra, Leonora]","['Giuseppe Verdi', 'Gino Marinuzzi', 'Liana Avogadro', 'Maria Caniglia', ""Orchestra Sinfonica dell'EIAR di Torino""]",1942,0.562,0.389,0.643,0,104.546
"Kiss Me, Kate: Why Can't You Behave?","['Cole Porter', 'Lisa Kirk', 'Harold Lang', 'Pembroke Davenport', 'Original Broadway Cast Orchestra']",1949,0.213,0.0767,0.238,7,178.883
Omorfi Pou Ne I Livadia,['Serafim Gerotheodorou'],1930,0.481,0.298,0.88,0,118.082
What Are You Doing New Year's Eve,['Carpenters'],1984,0.301,0.395,0.141,32,116.917
Beyond The Sea (La Mer),['Martin Denny'],1959,0.324,0.0771,0.155,19,78.129
Man Of Sorrows - Live,['Hillsong Worship'],2013,0.373,0.53,0.214,47,143.902
Mujhe Madhur Lagta Hai,"['Naseem Bano', 'Ashok Kumar']",1944,0.583,0.403,0.898,0,134.283
End Of The Line,['Nina Simone'],1965,0.292,0.0796,0.2,28,83.755
Nyboders pris,['Olga Svendsen'],1934,0.503,0.246,0.8759999999999999,0,102.053
Boing Boom Tschak - 2009 Remaster,['Kraftwerk'],1986,0.805,0.8959999999999999,0.16,25,108.136
Delivering the Goods,['Judas Priest'],1979,0.309,0.8759999999999999,0.47,33,157.966
The Gambler,['fun.'],2009,0.612,0.297,0.46,49,99.937
Misunderstanding - Live,['Phil Collins'],1981,0.601,0.828,0.708,31,121.184
Las Flores de Tu Balcón - Remasterizado,"['Francisco Canaro', 'Charlo']",1931,0.807,0.326,0.962,0,118.583
"All of Me (feat. Logic, ROZES)","['Big Gigantic', 'Logic', 'ROZES']",2016,0.628,0.877,0.199,57,142.034
Claudia's Theme - Version Eight,"['Lennie Niehaus', 'Clint Eastwood']",1992,0.334,0.0195,0.225,39,81.003
Girl Crazy: Treat Me Rough,"['George Gershwin', 'Eddie Chappell', 'Lehman Engel']",1949,0.448,0.333,0.629,0,110.256
Somewhere In Between,['August Wilhelmsson'],2016,0.13,0.0454,0.0391,60,67.667
Rogaciano El Huapanguero (Rogiciano),['Linda Ronstadt'],1987,0.391,0.18,0.514,35,153.863
Gazab Ka Hai Din,"['Alka Yagnik', 'Udit Narayan']",1988,0.526,0.278,0.649,48,150.16
Pebeta Canyengue - Remasterizado,"['Francisco Canaro', 'Agustín Irusta']",1927,0.7040000000000001,0.326,0.794,0,114.426
Am I Blue,['George Strait'],1987,0.782,0.449,0.879,25,94.631
Gunsmoke,['Molly Hatchet'],1979,0.659,0.738,0.935,24,129.074
Sally Can't Dance,['Lou Reed'],1974,0.5479999999999999,0.802,0.878,32,142.089
"Guitar Sonata No. 1 in C Major, Op. 22, ""Grande Sonate"": III. Minuetto","['Fernando Sor', 'Andrés Segovia']",1954,0.6409999999999999,0.108,0.5870000000000001,3,81.114
Capítulo 3.5 - la Casa Maldita,['H.P. Lovecraft'],1928,0.659,0.185,0.606,0,152.127
Stamp on the Ground - Radio Edit,['ItaloBrothers'],2009,0.622,0.821,0.281,59,149.998
Eddystone Light,['The Brothers Four'],1959,0.626,0.517,0.878,20,101.844
Mind Your Own Business,['Delta 5'],2006,0.871,0.61,0.7879999999999999,48,134.507
Cavando Votos - Anedota,"['Cornélio Pires', 'Pedro Massa']",1929,0.6809999999999999,0.202,0.611,0,144.779
HF V CMV.Iii,['Future Rapper'],1926,0.797,0.516,0.487,7,151.114
Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),"['Lil Yachty', 'DaBaby', 'Drake']",2020,0.83,0.625,0.884,69,138.046
Tomorrow's Song,['Ólafur Arnalds'],2011,0.4370000000000001,0.0463,0.139,53,140.478
My Friend Blind Lemon,['Lead Belly'],1935,0.59,0.225,0.887,1,160.75
WRONG (feat. Lil Mosey),"['The Kid LAROI', 'Lil Mosey']",2020,0.389,0.768,0.334,70,90.146
The Friendship Theme,['Bette Midler'],1988,0.474,0.0262,0.216,35,142.858
ATWA,['System Of A Down'],2001,0.376,0.787,0.3720000000000001,67,87.105
Money and the Power,['Kid Ink'],2013,0.565,0.6829999999999999,0.353,55,174.073
This Is the End,['The Ghost of Paul Revere'],2014,0.563,0.4320000000000001,0.348,46,81.629
Les yeux ouverts (dream a little dream of me),['Emilie-Claire Barlow'],2007,0.368,0.197,0.175,53,81.97
Dharti Ko Akash Pukare - Duet,"['Shamshed Begum', 'Mukesh']",1948,0.307,0.4320000000000001,0.242,0,139.447
Kneel At The Cross,['Jim and Jesse and the Virginia Boys'],1960,0.57,0.265,0.605,15,86.175
Liar,['Yngwie Malmsteen'],1986,0.454,0.871,0.107,32,118.162
In The Garden,['Mahalia Jackson'],1960,0.249,0.378,0.168,16,88.323
Smackwater Jack,['Carole King'],1971,0.6559999999999999,0.552,0.769,46,125.795
Fili d'oro,['Claudio Villa'],1942,0.449,0.249,0.458,0,65.25
Have You Heard - Pt. 1,['The Moody Blues'],1969,0.445,0.385,0.369,22,77.202
"Le nozze di Figaro, K.492 / Act 2: ""Porgi amor""","['Wolfgang Amadeus Mozart', 'Renata Tebaldi', ""Orchestra dell'Accademia Nazionale di Santa Cecilia"", 'Alberto Erede']",1950,0.162,0.1369999999999999,0.0392,1,171.421
"End Titles (From ""Braveheart"")",['The City of Prague Philharmonic Orchestra'],1998,0.0692,0.103,0.0363,33,63.499
Are You Dead Yet,['Children Of Bodom'],2005,0.461,0.961,0.416,59,96.009
Deep Purple,['Jackie Gleason'],1955,0.0657,0.489,0.0398,1,62.735
Are You That Somebody,['Aaliyah'],2019,0.848,0.6629999999999999,0.833,64,137.953
The Twelve Days Of Christmas,['Connie Francis'],1959,0.3670000000000001,0.227,0.551,18,101.747
She's My Ex,['All'],1989,0.382,0.617,0.616,36,164.963
Autumn Leaves - Album Version - (Take 1),['Bill Evans Trio'],1960,0.63,0.365,0.56,12,103.908
Road To Morocco - Single Version,"['Bing Crosby', 'Bob Hope', 'Vic Schoen & His Orchestra']",1962,0.5710000000000001,0.395,0.6459999999999999,19,195.271
Break on Through (To the Other Side),['The Doors'],1967,0.421,0.7509999999999999,0.789,72,89.839
Herbert Harper's Free Press News - Electric Mud Album Version,['Muddy Waters'],1968,0.504,0.8740000000000001,0.912,21,88.85
I'm Gonna Sit Right Down and Write Myself a Letter,['Fats Waller'],1926,0.778,0.101,0.67,27,115.347
If I Know Me,['George Strait'],2004,0.5489999999999999,0.352,0.153,50,134.374
Criminally Insane - Remix,['Slayer'],1986,0.352,0.91,0.0536,33,104.869
Judy Drowned,['Harry Belafonte'],1957,0.48,0.31,0.903,9,148.101
A Grave Mistake,['Ice Nine Kills'],2018,0.36,0.925,0.446,62,175.088
Harmony - Remastered 2014,['Elton John'],1973,0.5660000000000001,0.466,0.426,32,132.54
Allegiance to None,['The Hates'],2008,0.366,0.95,0.959,0,172.508
Follow Your Arrow,['Kacey Musgraves'],2013,0.448,0.649,0.575,64,195.925
Just One Of Those Things - 1954 Version,"[""Anita O'Day""]",1955,0.5429999999999999,0.108,0.387,5,78.93
Timebomb,"[""Old 97's""]",1997,0.292,0.95,0.331,41,143.115
Bambi,['Hippo Campus'],2018,0.7390000000000001,0.471,0.31,65,90.002
Maya Ka Sara Kaam Hai,['Sheela'],1938,0.395,0.174,0.338,0,80.64
Gepetto,['Belly'],1993,0.5479999999999999,0.8270000000000001,0.774,29,120.238
Do You Like It,['Kingdom Come'],1989,0.359,0.8220000000000001,0.7490000000000001,34,162.399
Cutting Ties,['6LACK'],2018,0.792,0.605,0.239,60,139.917
Fancy Footwork,['Chromeo'],2007,0.6990000000000001,0.902,0.608,43,129.963
Batter Up,['Chet Baker Quartet'],1958,0.626,0.429,0.757,15,118.996
"Messiah, HWV 56, Pt. 1: Glory to God in the Highest - Chorus","['George Frideric Handel', 'The Liverpool Philharmonic Orchestra', 'Sir Malcolm Sargent']",1946,0.171,0.186,0.132,0,83.535
Escape,['Vince DiCola'],1985,0.522,0.93,0.408,31,147.465
Siboney - (Parts I & II),"['Dizzy Gillespie', 'Stan Getz']",1955,0.516,0.405,0.531,2,122.788
Oriental Rock,['Bill Haley & His Comets'],1956,0.81,0.71,0.96,16,113.009
The Envoy,['Warren Zevon'],1986,0.526,0.705,0.7440000000000001,25,111.527
Body and Soul,['Coleman Hawkins'],1939,0.71,0.0752,0.6859999999999999,1,94.855
"Exodus - Live At The Pavillon De Paris, 1977",['Bob Marley & The Wailers'],1978,0.569,0.861,0.672,35,146.62
Engañada,['Lucho Oliva'],1948,0.574,0.457,0.8490000000000001,1,169.484
Bird House,['Gene Krupa'],1958,0.349,0.498,0.6970000000000001,13,184.74
Quien Será - Remasterizado,['Ignacio Corsini'],1940,0.508,0.145,0.655,0,85.467
Humoresque,['Glenn Miller'],1935,0.7120000000000001,0.0812,0.877,9,96.763
"Debussy: 12 Études, CD 143, L. 136: No. 2, Pour les tierces","['Claude Debussy', 'Walter Gieseking']",1953,0.308,0.0668,0.0737,1,103.498
"Fantasy in C Major, Op. 15, D. 760 ""Wanderer"": Part II","['Franz Schubert', 'Elly Ney']",1942,0.396,0.0269,0.0701,0,54.122
Let the Good Times Roll,['Ray Charles'],1959,0.585,0.454,0.654,11,103.573
Love And Peace,['Quincy Jones'],1969,0.472,0.356,0.229,46,97.295
Moonlight,['Ariana Grande'],2016,0.633,0.412,0.214,67,102.215
One O'Clock Jump,['Jack Teagarden And His Orchestra'],1939,0.706,0.522,0.7979999999999999,0,109.795
"Serenade No. 9 in D Major, K. 320 ""Posthorn"": III. Concertante. Andante grazioso","['Wolfgang Amadeus Mozart', 'George Szell', 'Cleveland Orchestra']",1947,0.262,0.0691,0.116,0,74.219
Symphony - Demo Version,['Marvin Gaye'],1971,0.555,0.883,0.787,34,158.749
We Want Eazy,"['Eazy-E', 'MC Ren', 'Dr. Dre']",1988,0.711,0.926,0.528,49,95.108
Un Sueño,"['Alex Gargolas', 'R.K.M & Ken-Y']",2006,0.7879999999999999,0.6759999999999999,0.8109999999999999,58,95.011
Out Of Time,['The Rolling Stones'],1966,0.653,0.618,0.705,46,126.73
"Messiah, HWV 56 / Pt. 1: 11. Air: The people that walked in darkness","['George Frideric Handel', 'Robert Hale', 'The Monteverdi Choir', 'English Baroque Soloists', 'John Eliot Gardiner']",1983,0.324,0.0186,0.17,28,137.909
Orchids,['Stone Sour'],2002,0.598,0.86,0.283,42,110.745
Steel Rail Blues,['Gordon Lightfoot'],1975,0.575,0.32,0.525,39,97.385
Another Sleep Song,['Graham Nash'],1973,0.61,0.0693,0.278,31,130.698
Romeo's Tune,['Steve Forbert'],1979,0.5710000000000001,0.721,0.733,58,95.027
Notorious Thugs - 2014 Remaster,['The Notorious B.I.G.'],1997,0.7040000000000001,0.873,0.742,66,154.914
Occhi Turchini,['Beniamino Gigli'],1926,0.222,0.431,0.299,0,64.568
Do It Again,['Queens of the Stone Age'],2002,0.419,0.8140000000000001,0.345,42,132.638
The Way You Look Tonight,['Oscar Peterson'],1959,0.58,0.199,0.482,11,79.882
Tsoupra mou to mantili sou,['Saltoy Maria'],1940,0.575,0.488,0.916,0,93.259
Demonz (feat. Brent Faiyaz) - Interlude,"['Juice WRLD', 'Brent Faiyaz']",2019,0.502,0.309,0.18,67,169.522
3 Small Words,['Josie and the Pussycats'],2001,0.463,0.904,0.561,38,95.934
Devils Answer,['Atomic Rooster'],1980,0.396,0.937,0.166,35,131.407
Gkamilieriko,['Giorgos Mpatis'],1930,0.7609999999999999,0.361,0.823,0,128.514
Jukebox in My Mind,['Alabama'],1990,0.711,0.365,0.547,28,115.388
Clap Yo' Hands (Bonus Track),['George Gershwin'],1926,0.606,0.217,0.789,1,95.589
Que Chulada De Mujer,['Ezequiel Peña'],1998,0.71,0.418,0.978,48,124.955
He Natwar Girdhari,['Shanta Apte'],1942,0.626,0.518,0.87,0,125.516
Muñecas Del Cha Cha Chá,"['La Sonora Matancera', 'Celia Cruz']",1956,0.812,0.411,0.97,16,142.539
"Symphony No. 6 in F Major, Op. 68 ""Pastoral"": I. Erwachen heiterer Empfindungen bei der Ankunft auf dem Lande. Allegro ma non troppo","['Ludwig van Beethoven', 'George Szell', 'Cleveland Orchestra']",1962,0.299,0.0587,0.142,22,107.444
Help Me Make It Through the Night,['Bobby Bare'],1971,0.65,0.392,0.89,22,77.019
C'est Magnifique,['Original Broadway Cast Of Can-Can'],1953,0.45,0.103,0.233,3,104.708
Tonight I'll Be Staying Here with You,['Jeff Beck'],1972,0.615,0.459,0.569,25,127.687
WITHOUT YOU,['The Kid LAROI'],2020,0.662,0.413,0.467,81,93.005
Golden Skans,['Klaxons'],2007,0.463,0.836,0.713,65,141.955
Beautiful,"['Snoop Dogg', 'Pharrell Williams', 'Uncle Charlie Wilson']",2002,0.907,0.695,0.961,62,101.007
Kansas City / Hey-Hey-Hey-Hey - Medley / Remastered 2009,['The Beatles'],1964,0.588,0.7240000000000001,0.924,45,131.36
The Good's Gone - Stereo Version,['The Who'],1965,0.472,0.883,0.642,29,126.642
Sketch for Winter,['The Durutti Column'],1979,0.613,0.2,0.439,28,101.353
No Te Olvidaré,['Mazz'],1989,0.618,0.58,0.476,45,106.417
Thugz Mansion - 2Pac Original/Acoustic,['2Pac'],2007,0.731,0.417,0.7040000000000001,48,88.161
Namely You,"['Edith Adams', 'Peter Palmer']",1956,0.291,0.263,0.212,10,91.38
I Got Lost In His Arms,['Julie London'],1958,0.445,0.0973,0.161,16,100.842
The Brooklyn Bridge,['Frank Sinatra'],1944,0.489,0.126,0.378,28,85.583
Double Crossing Time - Stereo,"['John Mayall & The Bluesbreakers', 'Eric Clapton']",1966,0.5870000000000001,0.49,0.483,25,82.357
Pulse,['The Psychedelic Furs'],1980,0.349,0.916,0.5720000000000001,34,158.526
Pretty Mami,['Lil Uzi Vert'],2017,0.6970000000000001,0.531,0.621,58,139.972
Часть 8.2 - Фиеста,['Эрнест Хемингуэй'],1926,0.6990000000000001,0.187,0.481,0,103.595
Black Mountain Side - Remaster,['Led Zeppelin'],1969,0.652,0.44,0.701,43,116.053
"Piano Sonata No. 2, Op. 35, in B-Flat Minor: Finale: Presto","['Frédéric Chopin', 'Arthur Rubinstein']",1946,0.21,0.127,0.287,1,98.34
Rockin' in Rhythm,"['Duke Ellington', 'Duke Ellington Orchestra']",1940,0.6,0.5820000000000001,0.517,6,96.864
The Same Old Story - Take 1,['Billie Holiday'],1939,0.516,0.142,0.423,3,85.504
Mother's Love,['Tsegue-Maryam Guebrou'],1963,0.419,0.0351,0.284,43,72.238
Casey Jones (The Union Scab),['Harry McClintock'],1950,0.628,0.102,0.5529999999999999,3,129.742
Run with the Pack - 2017 Remaster,['Bad Company'],1976,0.528,0.8,0.794,24,119.527
Did You Feel the Mountains Tremble,['Skynatives'],1994,0.447,0.6679999999999999,0.227,37,116.947
Sunflower,"['Mason Williams', 'Mannheim Steamroller']",1987,0.121,0.184,0.0833,27,202.528
Paralyzer,['Finger Eleven'],2007,0.644,0.939,0.861,71,106.031
I'm Not Gonna Teach Your Boyfriend How to Dance with You,['Black Kids'],2008,0.478,0.927,0.775,45,125.346
to the beginning,['Kalafina'],2008,0.325,0.795,0.396,48,153.129
Stay up Late,['Talking Heads'],1985,0.618,0.5660000000000001,0.928,29,110.977
Alma Enamorada,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,0.493,0.61,0.935,60,165.832
Pop Out Again (feat. Lil Baby & Gunna),"['Polo G', 'Lil Baby', 'Gunna']",2019,0.862,0.6890000000000001,0.364,67,83.964
Me Liberé,['El Gran Combo De Puerto Rico'],2001,0.754,0.875,0.967,59,97.522
Almost Persuaded,['Lefty Frizzell'],1952,0.496,0.254,0.396,10,81.845
Lonely Is the Night,['Air Supply'],1986,0.565,0.412,0.351,58,83.19
Magges mou simmorfothite,['Stellakis Perpiniadis'],1940,0.541,0.258,0.7959999999999999,0,116.582
Sittin' And Thinkin' - Mono Version,['The Spencer Davis Group'],1965,0.371,0.8909999999999999,0.484,22,106.2
Down Home Blues,['Z.Z. Hill'],1981,0.779,0.428,0.736,39,123.697
Paradise,['BTS'],2018,0.519,0.828,0.929,67,139.413
Dirty Dancer,"['Enrique Iglesias', 'Usher']",2010,0.662,0.942,0.787,50,133.03
Mi Último Bolero,['Javier Solís'],1955,0.289,0.339,0.316,20,92.912
Look What You've Done - Mono Version,['The Rolling Stones'],1965,0.5670000000000001,0.5660000000000001,0.764,25,98.307
Taxi Cab,['Vampire Weekend'],2010,0.69,0.363,0.71,42,167.979
The End Of A Love Affair,['Julie London'],1963,0.362,0.265,0.3,16,90.523
Rag Rag Mein Jagi Umangen,['Renuka Devi'],1945,0.669,0.115,0.755,0,74.537
El Esqueleto,['Miguel Angel'],1965,0.687,0.6629999999999999,0.94,31,151.333
Cómo Estás Tú,['Liberación'],1992,0.654,0.758,0.93,65,93.271
River Driver's Song,['Sam Eskin'],1951,0.449,0.0456,0.459,0,70.697
"Toucha, Toucha, Touch Me",['Abigale Haness'],1974,0.345,0.528,0.435,22,174.465
Vamos fugir,['Gilberto Gil'],1984,0.732,0.528,0.91,47,134.751
Kidnap The Sandy Claws,"['Danny Elfman', 'Paul Reubens', ""Catherine O'Hara""]",2006,0.7440000000000001,0.524,0.7709999999999999,60,137.566
Any Way You Want Me,['Bread'],1985,0.595,0.5660000000000001,0.833,31,173.373
Youngblood,['5 Seconds of Summer'],2018,0.596,0.8540000000000001,0.152,75,120.274
"Summertime - Live Instrumental Version - September 15, 1959",['Nina Simone'],1959,0.309,0.237,0.0916,16,70.585
Pure And Easy,['The Who'],1971,0.471,0.754,0.606,21,129.37
"Pagliacci: ""Recitar! Mentre preso - Vesti la giubba""","['Ruggero Leoncavallo', 'Richard Tucker']",1949,0.175,0.254,0.0642,1,64.113
"Sorge dich nicht - lebe! - Die Kunst, zu einem von Ängsten und Aufregungen befreiten Leben zu finden, Kapitel 46","['Dale Carnegie', 'Till Hagen', 'Stefan Kaminski']",1944,0.698,0.272,0.522,13,105.797
Gracias A Ti,['Wisin & Yandel'],2009,0.545,0.672,0.313,55,159.96
Too Close,['Next'],1997,0.847,0.402,0.752,66,99.693
Make Me A Believer,['Kirk Whalum'],2009,0.338,0.62,0.264,47,64.763
"Orchestral Suite No. 3 in D Major, BWV 1068: 2. Air","['Johann Sebastian Bach', 'Orpheus Chamber Orchestra']",1990,0.0891,0.0894,0.0728,57,80.828
"Pachelbel: Canon and Gigue in D Major, P. 37: I. Canon","['Johann Pachelbel', 'Sir Neville Marriner', 'Academy of St. Martin in the Fields']",1986,0.128,0.132,0.0988,53,85.314
"49b) No. 51, First Series",['G. I. Gurdjieff'],1948,0.1669999999999999,0.0787,0.0702,1,80.052
Half As Much,"['Patsy Cline', 'The Jordanaires']",1962,0.341,0.0459,0.302,33,134.302
Drifting Too Far From The Shore,['Roy Acuff'],1936,0.772,0.0463,0.371,2,112.519
"Kiss Me, Kate: Were Thine That Special Face","['Cole Porter', 'Alfred Drake', 'Kiss Me, Kate Ensemble', 'Pembroke Davenport', 'Original Broadway Cast Orchestra']",1949,0.304,0.338,0.376,0,83.151
Precious Lord - Pt. 1 / Remastered/2019,['Aretha Franklin'],1956,0.304,0.317,0.407,22,163.793
"Istar - Symphonic Variations, Op. 42: III. Très animé","[""Vincent d'Indy"", 'Pierre Monteux']",1945,0.225,0.368,0.14,0,79.858
I Think I'm Going Bald,['Rush'],1975,0.413,0.748,0.647,31,130.322
Quando Eu Me Chamar Saudade,['Nelson Cavaquinho'],1986,0.596,0.501,0.957,45,160.796
Lost Again,['kalapana'],1978,0.585,0.387,0.6559999999999999,21,133.877
I Need A Girl PT II - Album Version (Edited),"['Diddy', 'Ginuwine', 'Loon', 'Mario Winans', 'Tammy Ruggieri']",2002,0.926,0.512,0.7490000000000001,54,100.037
Surprise! You're Dead!,['Faith No More'],1989,0.493,0.938,0.7070000000000001,36,94.655
Boss D.J. - Acoustic Version,"['Sublime', 'Dario Baldan Bembo', 'Eric Wilson']",1998,0.5589999999999999,0.232,0.613,36,119.232
I Got It Bad (And That Ain't Good),['Jackie Gleason'],1954,0.151,0.1639999999999999,0.0741,21,84.872
Sincerely,['The McGuire Sisters'],1989,0.443,0.193,0.599,38,74.505
Foaie verde foi de praz,['Zavaidoc'],1939,0.682,0.0782,0.586,0,84.849
