name,artists,year,danceability,energy,valence,popularity,tempo
Siegfried-Idyll,"['Richard Wagner', 'Bruno Walter', 'Columbia Symphony Orchestra']",1946,0.13,0.0401,0.0412,0,81.765
"La chanson d'Eve, Op.95: 9. Crépuscule","['Gabriel Fauré', 'Irma Kolassi', 'André Collard']",1952,0.335,0.0444,0.0449,0,97.802
Dance Sister Dance (Baila Mi Hermana),['Santana'],1977,0.379,0.941,0.722,29,152.772
I Kongens klær,"['Dirch Passer', 'Ove Sprogøe']",1958,0.375,0.544,0.799,15,82.244
Tempo giusto,"['Frédéric Chopin', 'Vladimir Horowitz']",1928,0.392,0.0445,0.353,0,131.116
Mienteme Más,['Demetrio Gonzalez'],1955,0.507,0.443,0.67,4,119.525
What A Bringdown,['Cream'],1969,0.376,0.69,0.838,30,150.332
Cuidado Violão,"['Canhoto', 'Seu Regional']",1946,0.426,0.32,0.682,3,139.228
That Was Yesterday,['Leon Bridges'],2019,0.382,0.33,0.3,65,181.455
Freestyle 4,['Kanye West'],2016,0.564,0.537,0.459,58,126.036
Capítulo 1.1 - la Casa Maldita,['H.P. Lovecraft'],1928,0.708,0.215,0.473,0,133.564
Agiothodoritissa,['Stellakis Perpiniadis'],1940,0.435,0.455,0.899,0,185.447
Mi Buen Amor,['Gloria Estefan'],1993,0.614,0.388,0.595,50,119.935
I've Got You Under My Skin,['Sammy Davis Jr.'],1968,0.366,0.461,0.624,27,175.307
Fables Of Faubus,['Charles Mingus'],1959,0.518,0.344,0.312,25,123.456
The Cisco Kid,['War'],2010,0.848,0.852,0.962,50,141.774
One More Road To Cross,['DMX'],1999,0.73,0.921,0.47,47,94.284
Up A Lazy River,['Si Zentner'],1961,0.444,0.685,0.892,7,157.789
They Might Be Giants,['They Might Be Giants'],1990,0.6559999999999999,0.757,0.8690000000000001,32,126.702
Silver Springs - 2004 Remaster,['Fleetwood Mac'],1977,0.348,0.5760000000000001,0.428,56,179.014
Time Was,['Canned Heat'],1969,0.622,0.493,0.8059999999999999,42,97.605
El Mambo de Mi Prieta,['Chapuseaux y Damirón'],1945,0.752,0.68,0.883,0,100.74
Someday,['Mariah Carey'],1990,0.684,0.818,0.937,51,109.864
I'm Your Puppet,"['Little Joe', 'The Latinaires', 'Jose Maria De Leon Hernandez', 'Johnny Hernandez', 'Bobby Butler']",1963,0.708,0.41,0.807,21,95.738
"Symphony No. 8 in F Major, Op. 93: I. Allegro vivace e con brio","['Ludwig van Beethoven', 'Arturo Toscanini']",1952,0.282,0.333,0.296,0,155.229
El Amor de la Paloma,['Irma Serrano'],1962,0.542,0.37,0.72,18,114.654
So High (feat. Ghost Loft),"['Wiz Khalifa', 'Ghost Loft']",2014,0.628,0.629,0.3,69,157.99
Часть 53.2 - Прощай оружие,['Эрнест Хемингуэй'],1929,0.639,0.185,0.8420000000000001,0,84.414
Easy To Love,['The Soft Winds'],1947,0.3670000000000001,0.052,0.614,0,187.984
You,['Carpenters'],1976,0.283,0.302,0.1639999999999999,44,143.09
Not Tonight,"[""Lil' Kim""]",1996,0.862,0.662,0.777,42,91.052
Buried Alive,['Avenged Sevenfold'],2010,0.607,0.804,0.469,64,139.983
Who's Next?,['Tom Lehrer'],1965,0.594,0.605,0.922,24,107.001
Sweet Disgrace,['The Casino Royal'],2019,0.395,0.172,0.277,0,138.492
Psalm 62 (Only In God),['John Michael Talbot'],1989,0.49,0.101,0.16,27,111.664
Mamunia - Remastered 2010,['Wings'],1973,0.588,0.257,0.541,32,82.676
You Look So Good In Love,['George Strait'],2004,0.637,0.268,0.294,47,114.366
"Jerusalem - From ""The Jazz Singer"" Soundtrack",['Neil Diamond'],1980,0.545,0.496,0.545,29,147.653
Acuarelas de Tamboritos,"['Sylvia de Grasse', 'Avelino Muñoz']",1935,0.741,0.583,0.77,0,93.888
If You Know Like I Know,['Teddy Pendergrass'],1979,0.758,0.866,0.799,28,108.932
Vuelve Conmigo,['Grupo Libra'],1991,0.637,0.5670000000000001,0.653,36,120.066
Love Is A House,"[""Force M.D.'s""]",1987,0.682,0.4,0.838,39,92.101
Le Hace Falta Un Beso,['El Chapo De Sinaloa'],2014,0.792,0.245,0.726,66,102.001
The Murda Show (feat. MC Eiht),"['Spice 1', 'MC Eiht']",1993,0.777,0.7070000000000001,0.767,35,89.888
Pride,['Ray Price'],1963,0.501,0.342,0.6679999999999999,16,130.411
Hansi Rahegi Labon Pe,"['Kanta Kumari', 'H Khan Mastana']",1945,0.534,0.305,0.42,0,64.274
Just Say I Love Her,['Eddie Fisher'],1952,0.313,0.201,0.468,1,106.704
Midwestern Nights Dream,['Pat Metheny'],1976,0.406,0.105,0.11,40,106.013
Have You Met Miss Jones?,['Frank Sinatra'],1961,0.648,0.203,0.496,26,119.612
"A Girl Worth Fighting For - From ""Mulan""/Soundtrack","['Lea Salonga', 'Harvey Fierstein', 'Matthew Wilder', 'James Hong', 'Jerry Tondo']",2013,0.418,0.473,0.775,51,89.875
Superstar / Until You Come Back to Me (That's What I'm Gonna Do),['Luther Vandross'],1983,0.369,0.283,0.0707,42,117.913
One In A Million,['Ne-Yo'],2010,0.763,0.794,0.65,61,99.999
Heartache Medication,['Jon Pardi'],2019,0.621,0.7909999999999999,0.7340000000000001,67,95.075
Pig Foot Pete,"['Ella Mae Morse', 'Freddie Slack And His Orchestra']",1992,0.664,0.338,0.926,37,165.174
Dementes,['Conjunto Rio Grande'],2003,0.664,0.8370000000000001,0.961,49,115.42
Spirituals for Orchestra: II. Sermon,"['Morton Gould', 'London Symphony Orchestra, Walter Susskind', 'Walter Susskind', 'London Symphony Orchestra']",1958,0.148,0.0169,0.0338,42,93.1
"Petite suite, L. 65: III. Menuet","['Claude Debussy', 'Robert Casadesus', 'Gaby Casadesus']",1949,0.379,0.0517,0.388,12,101.752
I'll Be Around,['The Johnny Smith Quintet'],1956,0.413,0.11,0.196,12,137.087
Je N'suis Pas Celle Que Vous Croyez,['Perchicot'],1925,0.65,0.52,0.888,0,131.367
Часть 137.4 & Часть 138.1 - По ком звонит колокол,['Эрнест Хемингуэй'],1940,0.728,0.0864,0.68,0,100.565
Any Love,['Luther Vandross'],1988,0.691,0.648,0.7070000000000001,39,92.854
La donne è mobile from Rigoletto - Vocal,"['Giuseppe Verdi', 'Emil Cooper', 'Metropolitan Opera Orchestra']",1949,0.0,0.135,0.0,11,0.0
Cheatin Heart,['The Ink Spots'],1935,0.461,0.423,0.527,10,104.036
Granddaddy's Gun,['Aaron Lewis'],2012,0.556,0.758,0.357,55,145.046
Melting Lights,['Pigeons Playing Ping Pong'],2014,0.614,0.6970000000000001,0.8340000000000001,49,92.288
Cold Gettin' Dumb,['Just-Ice'],1986,0.795,0.775,0.833,32,96.027
We're Going To Hang Out The Washing On The Siegfried Line - 1939 Recording,['Arthur Askey'],1940,0.779,0.257,0.8370000000000001,5,136.04
Never Gonna Give You Up,['The Black Keys'],2010,0.557,0.665,0.4370000000000001,49,75.805
Pet Sounds - Remastered,['The Beach Boys'],1966,0.616,0.629,0.357,23,115.954
Guys Dont Like Me,['It Boys!'],2012,0.5720000000000001,0.6629999999999999,0.624,56,140.014
Two Hearts In 3/4 Time,['The Avalanches'],2000,0.535,0.762,0.573,38,71.651
Siempre Te Amaré,['Industria del Amor'],1992,0.5489999999999999,0.369,0.6629999999999999,51,144.512
Wait A Minute,"['The Pussycat Dolls', 'Timbaland']",2005,0.867,0.8540000000000001,0.972,46,136.446
"Theme from ""S.W.A.T.""",['Ray Conniff'],1976,0.526,0.624,0.894,34,120.946
Do It Clean,['Echo & the Bunnymen'],1980,0.409,0.908,0.703,26,149.859
Frosty The Snowman,['Beegie Adair'],2009,0.5670000000000001,0.337,0.7190000000000001,53,168.427
The Devil Made Me Do It,['Thunder'],2010,0.4320000000000001,0.8079999999999999,0.475,4,115.327
